url,name,brand,price,year,origin,transmission,body_type,engine,drive,mileage_km,seats,doors,exterior_color,interior_color,condition
https://bonbanh.com/xe-mazda-3-1.5l-luxury-2019-6391919,Mazda Luxury,Mazda,453 Triệu,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,90000,5,4,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-yaris-1.3e-2014-6391858,Toyota Yaris .3E,Toyota,315 Triệu,2014,Nhập khẩu,Số tự động,Hatchback,Xăng 1.3 L,FWD - Dẫn động cầu trước,70000,5,5,Đỏ,Kem,Xe đã dùng
https://bonbanh.com/xe-nissan-navara-el-2.5at-2wd-2016-6391819,Nissan Navara EL .5AT,Nissan,365 Triệu,2016,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,15000,5,4,Vàng,Vàng,Xe đã dùng
https://bonbanh.com/xe-vinfast-vf9-plus-2023-6391807,VinFast VF9 Plus,Vinfast,1 Tỷ 90 Triệu,2023,Lắp ráp trong nước,Số tự động,SUV,Điện 0.2 L,AWD - 4 bánh toàn thời gian,9000,6,5,Đen,Xanh,Xe đã dùng
https://bonbanh.com/xe-mazda-cx5-2.5-at-awd-2016-6093851,Mazda CX5,Mazda,495 Triệu,2016,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.5 L,AWD - 4 bánh toàn thời gian,95000,5,5,Xanh,Đen,Xe đã dùng
https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2017-6095211,Mazda CX5,Mazda,540 Triệu,2017,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.5 L,FWD - Dẫn động cầu trước,79000,5,5,Xanh,Đen,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2018-6371213,Mitsubishi Xpander,Mitsubishi,405 Triệu,2018,Nhập khẩu,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,90000,7,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-suzuki-xl7-1.5-at-2022-6371237,Suzuki XL7,Suzuki,460 Triệu,2022,Nhập khẩu,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,40000,7,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-e_class-e200-exclusive-2023-6260617,Mercedes Benz E class E200 Exclusive,Mercedes,1 Tỷ 799 Triệu,2023,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,12900,5,4,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-toyota-vios-1.5g-2012-6369094,Toyota Vios .5G,Toyota,239 Triệu,2012,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,91000,5,4,Bạc,Ghi,Xe đã dùng
https://bonbanh.com/xe-hyundai-elantra-1.6-at-tieu-chuan-2024-6391379,Hyundai Elantra Tiêu chuẩn,Hyundai,520 Triệu,2024,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,9500,5,4,Trắng,Đen,Xe đã dùng
